word,sentence,answer,user_language,definition_fr,etymology,tense
agence,Ma mère travaille dans une _____ de voyages depuis trois ans.,agence,agence,"Une agence est une entreprise ou un bureau qui fournit des services spécialisés, comme les agences de voyages, les agences immobilières ou les agences de publicité.","Du latin « agentia », dérivé de « agere » (agir, faire).",présent
agent,L'_____ de police a arrêté le suspect hier soir.,agent,agent,"Personne qui agit pour le compte d'une autorité ou d'une organisation. Dans ce contexte, c'est un fonctionnaire de la police chargé de maintenir l'ordre public.","Du latin 'agens', participe présent d'agere (agir).",passé composé
agir,Les militants _____ pour défendre l'environnement lors de la manifestation hier.,ont agi,agir,"Faire quelque chose, prendre une action ou une initiative pour accomplir un objectif. C'est le verbe qui exprime l'action concrète ou la réaction face à une situation.","Du latin agere (conduire, mener, faire), qui vient de la racine indo-européenne *ag- (conduire, mener).",passé composé
agréable,Cette promenade en montagne était vraiment _____.,agréable,agréable,"Qui plaît, qui cause du plaisir ou de la satisfaction. Qui est doux et plaisant aux sens ou à l'esprit.","De l'ancien français ""agréable"", du latin ""ad-"" et ""gratus"" (plaisant, reconnaissant).",imparfait
aide,Ma sœur a besoin de mon _____ pour ses devoirs.,aide,aide,"Nom féminin désignant le soutien, l’assistance apportée à quelqu’un.","Du verbe aider, issu du latin adjutare (aider, secourir).",présent
aider,Ma mère _____ ma sœur à faire ses devoirs ce soir.,va aider,aider,Fournir une assistance ou un soutien à quelqu'un pour accomplir une tâche. Contribuer à la réussite ou au bien-être d'une personne.,"Du latin adjutare, fréquentatif d'adjuvare (aider, soutenir).",futur proche
ailleurs,"Ma sœur habite à Paris, mais moi, je préfère vivre _____.",ailleurs,ailleurs,"En un autre lieu, dans un endroit différent. C'est un adverbe de lieu qui indique une localisation autre que celle mentionnée.","Du latin 'aliorsum' (vers un autre endroit), formé de 'alius' (autre) et du suffixe '-orsum'.",présent
aimer,Ma sœur _____ les films d'action depuis son enfance.,aime,aimer,Éprouver de l'affection ou de la tendresse pour quelqu'un ou quelque chose. Avoir du plaisir ou de la préférence pour une activité ou un objet.,"Du latin amāre, de racine indo-européenne *h₂em- (signifiant « embrasser » ou « aimer »).",présent
ainsi,Les étudiants ont étudié dur et _____ ont réussi leur examen.,ainsi,ainsi,Adverbe qui signifie « de cette manière » ou « par conséquent ». Il permet de lier deux idées ou de montrer une conséquence.,"Formé de « à » + « ainsi » (ancien français « en si »), du latin « in sic ».",passé composé
air,Le musicien a joué un _____ mélancolique ce soir.,air,air,Une air est une mélodie ou un tune. C'est une suite de notes musicales formant une composition musicale ou une chanson.,"De l'italien aria, qui vient du latin aer (air, atmosphère). Une racine différente du verbe chanter.",passé composé
ajouter,Elle _____ du sel à la soupe pour améliorer le goût.,ajoute,ajouter,"Mettre quelque chose en plus d'une autre chose, généralement pour compléter ou améliorer. C'est l'action d'ajouter un ingrédient ou un élément à un ensemble existant.","Du latin ad- (vers) + iactāre (jeter), littéralement « jeter vers ».",présent
alarme,"Quand le détecteur de fumée a sonné, les enfants ont eu très peur à cause de cette _____.",alarme,alarme,Un signal ou un bruit destiné à avertir d'un danger imminent. C'est aussi un sentiment de crainte soudaine face à une menace.,"Du latin « alarm » (all'arme, littéralement « aux armes »), emprunté à l'italien « all'arme ».",passé composé
alcool,Mon ami ne boit jamais d'_____ lors des fêtes.,alcool,alcool,"Substance liquide produite par fermentation, contenant de l'éthanol et pouvant intoxiquer. On la trouve dans les boissons comme le vin, la bière et les spiritueux.","Du français alcool, emprunté à l'arabe al-kuḥl (الكحول), qui désignait initialement une poudre fine utilisée comme cosmétique. Le terme a évolué pour désigner l'alcool éthylique.",présent
alerte,Les pompiers _____ les habitants du danger immédiat.,ont alerté,alerte,Informer quelqu'un rapidement d'un danger ou d'une situation urgente. Le verbe alerte signifie avertir ou mettre en garde.,"Du latin médiéval 'alerta', issu de l'italien 'all'erta' (à la hauteur, sur ses gardes), composé de 'a' (à) et 'l'erta' (la hauteur, du latin 'erecta').",passé composé
alliance,Les deux pays ont signé une _____ pour renforcer leur coopération économique.,alliance,alliance,"Un accord entre deux ou plusieurs parties pour agir ensemble dans un intérêt commun. C'est une association ou une union formelle entre des états, des organisations ou des personnes.","Du latin « alligantia », dérivé de « alligare » (lier à), composé de « ad- » (à) et « ligare » (lier).",passé composé
allier,"Pour réussir ce projet, nous devons _____ nos compétences avec celles de notre équipe.",allier,allier,Combiner ou réunir deux ou plusieurs choses ensemble pour former un ensemble cohérent. Joindre des éléments différents dans un but commun.,"Du latin alligare (lier à), composé de ad- (à) et ligare (lier).",présent
allée,Nous nous sommes promenés dans une belle _____ bordée d'arbres.,allée,allée,"Une allée est un passage ou une voie étroite, souvent bordée d'arbres ou de maisons. C'est un chemin dans un parc ou une rue dans une ville.","Du verbe aller, car c'est le lieu où l'on va ou se promène.",passé composé
ambulance,"L'accident était grave, donc nous avons appelé une _____ immédiatement.",ambulance,ambulance,Un véhicule équipé pour transporter les personnes malades ou blessées vers un hôpital. L'ambulance est conduite par des professionnels de la santé qualifiés.,"Du latin « ambulare » (marcher, se déplacer), formé avec le suffixe « -ance » pour désigner un véhicule de transport.",passé composé
amener,"Demain, je _____ mon ami à la gare pour prendre le train.",vais amener,amener,Conduire ou accompagner une personne d'un lieu à un autre. Transporter quelque chose ou quelqu'un vers un endroit.,"Du latin « adminare », composé de « ad- » (vers) et « minare » (conduire).",futur proche
ami,Mon meilleur _____ habite à Paris et nous nous voyons chaque semaine.,ami,ami,Une personne avec laquelle on entretient une relation de confiance et d'affection mutuelle. C'est quelqu'un qu'on aime bien et avec qui on partage du temps et des expériences.,"Du latin amicus, dérivé de amare (aimer).",présent
amie,Ma _____ est venue me rendre visite hier après-midi.,amie,amie,"Une amie est une personne avec laquelle on a une relation d'amitié, une femme que l'on aime bien et avec qui on partage une affinité. C'est le féminin du mot ami.","Du latin amīca, féminin de amīcus (ami), dérivé de amāre (aimer).",passé composé
amitié,Ma _____ avec Sophie a commencé à l'école primaire.,amitié,amitié,Sentiment d'affection et de confiance entre deux personnes. C'est une relation basée sur l'estime mutuelle et le partage d'intérêts communs.,"Du latin amicitia, dérivé de amicus (ami)",passé composé
amour,"Mon grand-mère parle souvent de son _____ pour mon grand-père, même après cinquante ans de mariage.",amour,amour,"Sentiment profond d'affection et d'attachement envers une personne ou une chose. C'est une émotion caractérisée par le dévouement, la tendresse et le désir du bien-être de l'autre.","Du latin amor, dérivé du verbe amare (aimer).",présent
amoureux,Ma sœur est _____ de son professeur depuis trois ans.,amoureuse,amoureux,Qui ressent de l'amour pour quelqu'un; qui éprouve une affection romantique. L'adjectif s'accorde en genre et en nombre avec le sujet.,"Du latin 'amorosus', dérivé de 'amor' (amour).",présent
amusant,Les enfants trouvent ce film vraiment _____.,amusant,amusant,Qui provoque du rire ou de la joie; qui divertit et fait passer un bon moment. C'est un adjectif qui décrit quelque chose de plaisant et divertissant.,"Du verbe « amuser » (XVIe siècle), lui-même dérivé de « muse » avec le préfixe « a- », signifiant étymologiquement « détourner l'attention de ».",présent
amuser,Les enfants _____ au parc cet après-midi.,vont s'amuser,amuser,"Prendre du plaisir, se divertir ou passer un bon moment. C'est un verbe pronominal qui signifie éprouver de la joie ou de l'amusement.","Du latin « admūsāre », formé de « ad- » (vers) et « mūsa » (muse), littéralement « se tourner vers la muse ».",futur proche
américain,Mon ami a acheté une voiture _____.,américaine,américain,Qui appartient aux États-Unis ou qui en est originaire. Adjectif décrivant quelque chose de provenance ou de nature américaine.,"Du français « Amérique » (du nom d'Amerigo Vespucci, explorateur italien), suffixe « -ain »",passé composé
an,Mon petit frère a un _____.,an,an,"Période de douze mois, unité de temps correspondant à une révolution complète de la Terre autour du Soleil. Le mot peut aussi désigner une année scolaire ou une époque particulière.","Du latin 'annus' signifiant année, d'origine indo-européenne.",présent
analyse,Le scientifique a terminé l'_____ des données importantes.,analyse,analyse,"Examen détaillé et méthodique d'un sujet, d'une situation ou de données pour en comprendre les éléments constitutifs. Action de décomposer quelque chose en ses parties pour mieux l'étudier.","Du grec ancien ἀνάλυσις (análusis), signifiant « dissolution, décomposition », dérivé de ἀναλύειν (analúein), « délier, décomposer ».",passé composé
ancien,Mon grand-père travaillait dans une _____ usine textile avant sa retraite.,ancienne,ancien,"Qui existe depuis longtemps, qui appartient au passé. Qualifie quelque chose qui n'est plus nouveau ou qui a cessé d'exister.","Du latin ""antiquus"" (vieux, ancien), dérivé de ""ante"" (avant).",imparfait
ange,Ma grand-mère croit que son petit-fils est un véritable _____.,ange,ange,"Un être surnaturel bienveillant dans les religions monothéistes, souvent représenté avec des ailes. Par extension, une personne très bonne, gentille ou belle.","Du latin angelus, emprunté au grec angelos (ἄγγελος), signifiant « messager ».",présent
anglais,Ma meilleure amie parle couramment l'_____.,anglais,anglais,"Langue parlée au Royaume-Uni, aux États-Unis et dans de nombreux autres pays. C'est une langue germanique largement enseignée comme langue étrangère.","Du moyen français 'anglais', dérivé de 'Angle' (peuple germanique), avec le suffixe '-ais'.",présent
animal,Mon frère a vu un _____ dans la forêt hier.,animal,animal,"Un être vivant qui n'est pas une plante, capable de se mouvoir et de sentir. Les animaux incluent les mammifères, les oiseaux, les poissons et les insectes.","Du latin animalis, dérivé de anima signifiant « âme » ou « souffle vital ».",passé composé
anniversaire,Ma sœur va célébrer son _____ avec tous ses amis samedi prochain.,anniversaire,anniversaire,"Le jour de l'année où une personne est née, que l'on célèbre généralement avec une fête. C'est aussi l'occasion de se réunir avec la famille et les amis pour marquer cet événement important.","Du latin « anniversarius » (qui revient chaque année), composé de « annus » (année) et « versus » (tourné vers).",futur proche
annoncer,Le directeur _____ les résultats de l'examen demain matin.,va annoncer,annoncer,"Faire connaître publiquement une information, un événement ou une décision. C'est communiquer quelque chose de manière officielle ou solennelle.","Du latin « annuntiare », composé de « ad- » (vers) et « nuntiare » (annoncer, rapporter), dérivé de « nuntius » (messager).",futur proche
annuler,Le directeur _____ la réunion de demain à cause de la tempête.,a annulé,annuler,"Annuler signifie déclarer qu'une chose n'aura pas lieu ou n'est plus valide. C'est rendre nul ou sans effet un événement, un contrat ou une décision.","Du latin « annullare », formé de « ad- » (vers) et « nullus » (nul, sans valeur).",passé composé
année,Ma grand-mère a travaillé pendant quarante _____ dans la même entreprise.,années,année,"Période de douze mois, du 1er janvier au 31 décembre, ou plus généralement une durée de 365 ou 366 jours. C'est l'unité de temps qui mesure une rotation complète de la Terre autour du Soleil.","Du latin « annus » (année, cycle annuel)",passé composé
appareil,Mon père utilise un _____ électrique pour se raser chaque matin.,appareil,appareil,Un objet ou un instrument destiné à accomplir une fonction particulière. C'est un ensemble de pièces assemblées pour servir à un usage spécifique.,"Du latin apparātus, participe passé d'apparāre (préparer, arranger), de ad- (à) + parāre (préparer).",présent
apparemment,"Il pleut beaucoup aujourd'hui, _____.",apparemment,apparemment,"Adverbe indiquant que quelque chose semble être vrai selon les apparences, sans certitude absolue. Il exprime une supposition basée sur ce qu'on observe.","Du français apparence (du latin apparentia, de apparere « apparaître »), avec le suffixe adverbial -ment.",présent
appart,Mon frère a trouvé un nouvel _____ près de la gare.,appart,appart,"Un appart est un appartement, c'est-à-dire un logement composé de plusieurs pièces situé dans un immeuble. C'est une abréviation familière du mot appartement.","Abréviation du mot « appartement », qui vient de l'italien « appartamento », dérivé de « appartare » (séparer, diviser).",passé composé
appartement,Ma sœur vient de louer un _____ au centre-ville de Lyon.,appartement,appartement,"Un logement composé de plusieurs pièces situé dans un immeuble, généralement loué ou acheté pour y habiter. C'est un type d'habitation urbaine plus petit qu'une maison individuelle.","De l'ancien français ""apartemant"", de ""apartier"" (séparer), de ""à part"". Le suffixe ""-ment"" indique le résultat d'une action.",futur proche
appartenir,Ces terres _____ à la couronne depuis le Moyen Âge.,appartiennent,appartenir,Être la propriété de quelqu'un ou de quelque chose. Faire partie de un groupe ou une catégorie.,"Du latin appartenere, composé de ad- (à) et partenere (partager, être convenable).",présent
appel,"Demain, je _____ ma mère pour lui dire que je suis malade.",vais appeler,appel,Contacter quelqu'un par téléphone ou crier pour attirer son attention. C'est aussi le fait de donner un nom à quelque chose.,"Du latin appellāre, signifiant « s'adresser à, invoquer ».",futur proche
appeler,Ma mère _____ son amie demain pour lui dire bonjour.,va appeler,appeler,Contacter quelqu'un par téléphone ou crier pour attirer son attention. C'est aussi donner un nom à quelque chose.,"Du latin appellāre, composé de ad- (à) et pellere (pousser), signifiant littéralement « pousser vers ».",futur proche
apporter,"Demain, elle _____ des fleurs à sa mère pour son anniversaire.",va apporter,apporter,Transporter et remettre quelque chose à quelqu'un ou en un lieu. C'est l'action de porter quelque chose vers une destination ou une personne.,"Du latin ""apportare"", composé de ""ad"" (vers) et ""portare"" (porter).",futur proche
apprendre,Ma sœur _____ l'espagnol depuis deux ans.,apprend,apprendre,Acquérir des connaissances ou des compétences par l'étude ou l'expérience. C'est le processus d'assimiler une nouvelle information ou un nouveau savoir-faire.,"Du latin apprehendere, composé de ad- (vers) et prehendere (saisir), signifiant littéralement « saisir vers soi ».",présent
approcher,Les enfants _____ lentement du chien pour ne pas l'effrayer.,s'approchent,approcher,"Se déplacer vers quelque chose ou quelqu'un, se rapprocher.","Du latin appropiare, composé de ad- (vers) et de prope (près).",présent
approcher,Les enfants _____ lentement de la maison pour aller à l'école.,s'approchent,approcher,Se rapprocher de quelque chose ou de quelqu'un en diminuant la distance. C'est l'action de venir près de.,"Du latin appropiare, composé de ad- (vers) et propriare (rendre propre, rapprocher), dérivé de propius (proche).",présent
apprécier,Elle _____ beaucoup la musique classique.,apprécie,apprécier,Avoir une opinion favorable sur quelque chose ou quelqu'un. Reconnaître la valeur ou la qualité de quelque chose.,"Du latin « appretiare », composé de « ad- » (à) et « pretium » (prix, valeur).",présent
après-midi,Nous allons jouer au parc cet _____.,après-midi,après-midi,La partie de la journée qui s'étend du midi jusqu'au coucher du soleil. C'est la période entre le déjeuner et le dîner.,"Du latin ""post meridiem"" (après midi), littéralement ""après le midi"".",futur proche
arbre,Les enfants jouent sous le grand _____ dans le parc.,arbre,arbre,"Plante ligneuse de grande taille, avec un tronc, des branches et des feuilles. L'arbre est un élément important de la nature et de l'environnement.","Du latin arbor, de même sens.",présent
argent,Marie a besoin de _____ pour acheter un nouveau téléphone.,argent,argent,Monnaie ou richesse sous forme de billets et de pièces. C'est un moyen d'échange pour acheter des biens et des services.,"Du latin argentum, signifiant « argent » (métal) et « monnaie ».",présent
arme,Le soldat a pris son _____ avant de partir à la guerre.,arme,arme,Objet ou instrument destiné à attaquer ou à se défendre. Peut aussi signifier le moyen utilisé pour combattre ou lutter contre quelque chose.,"Du latin arma (plural of armus, meaning arms, weapons), related to artus (joint, limb).",passé composé
armée,La _____ française a participé à de nombreuses missions internationales.,armée,armée,Ensemble organisé de militaires équipés pour la défense d'un État. Force armée d'une nation.,"Du latin « armata », participe passé féminin de « armare » (équiper d'armes), dérivé de « arma » (armes).",présent
arranger,Je _____ mon problème avec l'aide de mon ami.,vais arranger,arranger,"Mettre en ordre, résoudre un problème ou une situation difficile. Faire en sorte que quelque chose fonctionne ou s'améliore.","Du latin « ad » (vers) et « ranca » (rang, ordre), formé comme « arranger » signifiant littéralement « mettre en rang ».",futur proche
arrestation,L'_____ du suspect a eu lieu hier matin au commissariat de police.,arrestation,arrestation,"L'acte de capturer et de retenir quelqu'un par l'autorité de la loi, généralement pour des raisons de soupçon d'un crime. C'est l'action de mettre une personne en garde à vue.","Du latin arrestare, composé de ad- (vers) et restare (arrêter, rester), passé par l'ancien français arester.",présent
arriver,Les enfants _____ à l'école à huit heures chaque matin.,arrivent,arriver,"Arriver signifie atteindre une destination, un lieu ou un moment précis. C'est se présenter quelque part après un déplacement.","Du latin ad-ripare, composé de ad- (à) et ripare (atteindre le rivage), littéralement « venir au rivage ».",présent
arrivée,Nous avons attendu l'_____ du train pendant deux heures à la gare.,arrivée,arrivée,"Le moment ou l'action de venir, d'arriver à une destination. C'est aussi le lieu ou l'instant où quelqu'un ou quelque chose arrive.","Du verbe arriver, du latin ad + ripam (à + rive), littéralement 'venir à la rive'.",passé composé
arrière,Les enfants jouent dans la cour _____ de la maison.,arrière,arrière,"La cour arrière est l'espace situé à l'arrière d'une maison, derrière le bâtiment principal. C'est un terme qui désigne la partie postérieure d'une propriété.","Du latin 'ad retro' (vers l'arrière), formé de 'ad' (vers) et 'retro' (en arrière).",présent
arrêt,Le bus fait un _____ à chaque station pour laisser descendre les passagers.,arrêt,arrêt,"Un arrêt est une pause ou une interruption d'une activité, notamment l'endroit où un véhicule s'immobilise temporairement. C'est aussi le moment où quelque chose cesse de fonctionner.","Du verbe « arrêter », issu du latin « ad » (vers) et « restare » (rester), signifiant littéralement « rester vers ».",présent
arrêter,Les policiers _____ le criminel à la gare centrale.,vont arrêter,arrêter,"Retenir quelqu'un par l'autorité, généralement la police. Cesser une action ou un mouvement.","De l'ancien français ""arester"", du bas latin ""arrestare"" (ad- + restare 'rester'), influencé par le latin ""restare"".",futur proche
arrêter,La police _____ le suspect devant sa maison.,a arrêté,arrêter,"Appréhender quelqu'un, le retenir par la force de la loi. C'est aussi l'action de cesser une activité ou un mouvement.","De l'ancien français ""arester"", du bas latin ""arrestare"" (ad- + restare 'rester'), influencé par le latin ""restare"".",passé composé
art,Ma sœur étudie l'_____ à l'université depuis deux ans.,art,art,"L'art est l'expression créative humaine à travers diverses formes comme la peinture, la sculpture, la musique ou la littérature. C'est une activité ou un ensemble de productions qui reflètent l'imagination et la sensibilité de l'artiste.","Du latin ars, artis, signifiant « habileté, technique, art ».",présent
article,J'ai lu un _____ intéressant dans le journal ce matin.,article,article,"Un texte court publié dans un journal, un magazine ou sur internet traitant d'un sujet particulier. C'est une partie d'une publication périodique ou d'un site web.","Du latin articulus, diminutif de artus (membre, jointure), signifiant littéralement « petite jointure ».",passé composé
artiste,Ma mère est _____ et elle peint des tableaux magnifiques.,artiste,artiste,"Une personne qui crée des œuvres d'art, comme la peinture, la sculpture, la musique ou la danse. L'artiste exprime sa créativité et ses émotions à travers son art.","De l'italien ""artista"", du latin ""ars"" (art) + le suffixe d'agent ""-ista"".",présent
avoir,Tu _____ beaucoup de courage pour affronter cette situation difficile.,as,avoir,Le verbe avoir exprime la possession ou l'état d'une personne ou d'une chose. C'est un verbe auxiliaire essentiel en français.,"From Old French avoir, from Latin habēre (to have, to hold)",présent
ascenseur,Nous prenons _____ pour monter au troisième étage du bâtiment.,l'ascenseur,ascenseur,Appareil mécanique qui permet de monter ou de descendre entre les différents étages d'un immeuble. C'est une cabine qui se déplace verticalement dans une cage.,"Du latin tardif ascensus, participe passé d'ascendere (monter), formé de ad- (vers) et scandere (grimper).",présent
assassin,Le police a arrêté l'_____ qui avait volé les bijoux du musée.,assassin,assassin,"Personne qui commet un meurtre, qui tue quelqu'un intentionnellement. Le terme peut aussi désigner une personne dangereuse ou criminelle.","Du latin tardif assassinus, emprunté à l'arabe حشاشين (ḥašāšīn), désignant historiquement les Assassins, secte ismaélienne médiévale.",passé composé
assassiner,Le président _____ ses adversaires politiques pour garder le pouvoir.,a assassiné,assassiner,"Tuer quelqu'un de manière prémédité, généralement pour des raisons politiques ou personnelles. C'est un crime grave.","Du latin 'assassinare', dérivé de l'arabe 'hassassin' (les Assassins, secte musulmane du Moyen Âge).",passé composé
asseoir,"Le matin, je _____ sur le canapé pour boire mon café.",m'assieds,asseoir,"Prendre une position assise, se mettre sur un siège. C'est un verbe pronominal qui signifie occuper une place en position assise.","Du latin 'assidere' (ad- 'à' + sedere 'être assis'), formé avec le préfixe 'ad-' et la racine 'sed-' signifiant 'siéger'.",présent
asseyez,Vous _____ sur les chaises près de la fenêtre pendant la réunion.,vous vous asseyez,asseyez,"Le verbe asseyez est la deuxième personne du pluriel du verbe s'asseoir, qui signifie prendre place sur un siège. C'est une action courante qui consiste à passer de la position debout à la position assise.","Du latin populaire *assedere, composé de ad- (à) et sedere (être assis).",présent
assez,Elle a mangé _____ de gâteau hier soir.,assez,assez,"En quantité suffisante; ni trop ni trop peu. Adverbe qui modifie un verbe, un adjectif ou un autre adverbe pour indiquer une mesure adéquate.","Du latin ad satis (littéralement « à satisfaction »), composé de ad (à) et satis (assez, suffisamment).",passé composé
assied,Elle _____ sur le banc du parc chaque matin.,s'assied,assied,Le verbe asseoir signifie mettre une personne en position assise. S'asseoir est la forme pronominale qui indique que le sujet se met lui-même en position assise.,"Du latin 'assidere', composé de 'ad-' (à) et 'sedere' (être assis).",présent
assise,Elle était _____ sur le banc du parc quand je suis arrivé(e).,assise,assise,"Adjectif signifiant en position assise, ayant pris place sur un siège. État de celui ou celle qui s'est assis.","Du participe passé du verbe latin 'assidere' (s'asseoir), composé de 'ad-' (à) et 'sedere' (être assis).",imparfait
